candidate_id,role,generated_input_n_atoms,generated_input_spacegroup_symbol,generated_input_spacegroup_number,generated_input_n_inequivalent,generated_input_site_fraction,generated_input_law7,generated_primitive_n_atoms,generated_primitive_spacegroup_symbol,generated_primitive_spacegroup_number,generated_primitive_n_inequivalent,generated_primitive_site_fraction,generated_primitive_law7,relaxed_input_n_atoms,relaxed_input_spacegroup_symbol,relaxed_input_spacegroup_number,relaxed_input_n_inequivalent,relaxed_input_site_fraction,relaxed_input_law7,relaxed_primitive_n_atoms,relaxed_primitive_spacegroup_symbol,relaxed_primitive_spacegroup_number,relaxed_primitive_n_inequivalent,relaxed_primitive_site_fraction,relaxed_primitive_law7
candidate_0236,priority,6,Amm2,38,6,1.0,False,6,Amm2,38,6,1.0,False,6,Amm2,38,6,1.0,False,6,Amm2,38,6,1.0,False
candidate_0241,priority,12,Imm2,44,12,1.0,False,12,Imm2,44,12,1.0,False,12,Immm,71,7,0.5833333333333334,True,12,Immm,71,7,0.5833333333333334,True
candidate_0244,screened,10,P1,1,10,1.0,False,10,P1,1,10,1.0,False,10,P1,1,10,1.0,False,10,P1,1,10,1.0,False
candidate_0249,priority,8,P-6m2,187,4,0.5,True,8,P-6m2,187,4,0.5,True,8,P-6m2,187,4,0.5,True,8,P-6m2,187,4,0.5,True
candidate_0253,priority,14,P1,1,14,1.0,False,14,P1,1,14,1.0,False,14,P1,1,14,1.0,False,14,P1,1,14,1.0,False
candidate_0261,priority,12,Imm2,44,12,1.0,False,12,Imm2,44,12,1.0,False,12,Imm2,44,12,1.0,False,12,Imm2,44,12,1.0,False
candidate_0264,screened,7,Pm,6,7,1.0,False,7,Pm,6,7,1.0,False,7,Pm,6,7,1.0,False,7,Pm,6,7,1.0,False
candidate_0269,control,10,Pm,6,10,1.0,False,10,Pm,6,10,1.0,False,10,Amm2,38,7,0.7,False,10,Amm2,38,7,0.7,False
candidate_0273,priority,12,Imm2,44,12,1.0,False,12,Imm2,44,12,1.0,False,12,Imm2,44,12,1.0,False,12,Imm2,44,12,1.0,False
candidate_0284,screened,11,Cm,8,11,1.0,False,11,Cm,8,11,1.0,False,11,Cm,8,11,1.0,False,11,Cm,8,11,1.0,False
candidate_0292,screened,10,P1,1,10,1.0,False,10,P1,1,10,1.0,False,10,P-1,2,5,0.5,True,10,P-1,2,5,0.5,True
candidate_0294,screened,15,Pmm2,25,15,1.0,False,15,Pmm2,25,15,1.0,False,15,Pmm2,25,15,1.0,False,15,Pmm2,25,15,1.0,False
candidate_0299,priority,12,Pm,6,12,1.0,False,12,Pm,6,12,1.0,False,12,Pm,6,12,1.0,False,12,Pm,6,12,1.0,False
candidate_0300,control,8,Pmma,51,4,0.5,True,8,Pmma,51,4,0.5,True,8,Pmma,51,4,0.5,True,8,Pmma,51,4,0.5,True
candidate_0301,priority,6,Amm2,38,6,1.0,False,6,Amm2,38,6,1.0,False,6,Amm2,38,6,1.0,False,6,Amm2,38,6,1.0,False
candidate_0305,screened,19,Pm,6,19,1.0,False,19,Pm,6,19,1.0,False,19,Pm,6,19,1.0,False,19,Pm,6,19,1.0,False
candidate_0311,screened,10,Cm,8,10,1.0,False,10,Cm,8,10,1.0,False,10,Cm,8,10,1.0,False,10,Cm,8,10,1.0,False
candidate_0312,priority,5,I4/mmm,139,3,0.6,True,5,I4/mmm,139,3,0.6,True,5,I4/mmm,139,3,0.6,True,5,I4/mmm,139,3,0.6,True
candidate_0313,priority,16,Cm,8,12,0.75,False,16,Cm,8,12,0.75,False,16,Cm,8,12,0.75,False,16,Cm,8,12,0.75,False
candidate_0320,screened,15,Pmm2,25,15,1.0,False,15,Pmm2,25,15,1.0,False,15,Pmm2,25,15,1.0,False,15,Pmm2,25,15,1.0,False
candidate_0330,priority,4,I4/mmm,139,3,0.75,False,4,I4/mmm,139,3,0.75,False,4,I4/mmm,139,3,0.75,False,4,I4/mmm,139,3,0.75,False
candidate_0331,priority,16,Cm,8,12,0.75,False,16,Cm,8,12,0.75,False,16,Amm2,38,9,0.5625,True,16,Amm2,38,9,0.5625,True
candidate_0332,control,5,I4/mmm,139,3,0.6,True,5,I4/mmm,139,3,0.6,True,5,I4/mmm,139,3,0.6,True,5,I4/mmm,139,3,0.6,True
candidate_0336,screened,18,P1,1,18,1.0,False,18,P1,1,18,1.0,False,18,P1,1,18,1.0,False,18,P1,1,18,1.0,False
candidate_0339,priority,4,Imm2,44,3,0.75,False,4,Imm2,44,3,0.75,False,4,Imm2,44,3,0.75,False,4,Imm2,44,3,0.75,False
candidate_0342,priority,4,Pmm2,25,4,1.0,False,4,Pmm2,25,4,1.0,False,4,Pmm2,25,4,1.0,False,4,Pmm2,25,4,1.0,False
candidate_0343,priority,12,Pmn2_1,31,6,0.5,True,12,Pmmn,59,4,0.3333333333333333,True,12,Pmmn,59,4,0.3333333333333333,True,12,Pmmn,59,4,0.3333333333333333,True
candidate_0355,priority,12,P2_1/m,11,6,0.5,True,12,P2_1/m,11,6,0.5,True,12,Pnma,62,3,0.25,True,12,Pnma,62,3,0.25,True
candidate_0357,control,20,Pm,6,20,1.0,False,20,Pm,6,20,1.0,False,20,Pm,6,20,1.0,False,20,Pm,6,20,1.0,False
candidate_0367,priority,16,C2/m,12,9,0.5625,True,16,C2/m,12,9,0.5625,True,16,C2/m,12,9,0.5625,True,16,C2/m,12,9,0.5625,True
candidate_0369,control,8,Imma,74,4,0.5,True,8,Imma,74,4,0.5,True,8,Imma,74,4,0.5,True,8,Imma,74,4,0.5,True
candidate_0370,priority,16,P3m1,156,8,0.5,True,16,P3m1,156,8,0.5,True,16,P-6m2,187,6,0.375,True,16,P-6m2,187,6,0.375,True
candidate_0374,priority,12,Imm2,44,12,1.0,False,12,Imm2,44,12,1.0,False,12,Imm2,44,12,1.0,False,12,Imm2,44,12,1.0,False
candidate_0376,priority,12,P1,1,12,1.0,False,12,P1,1,12,1.0,False,12,P1,1,12,1.0,False,12,P1,1,12,1.0,False
candidate_0377,priority,6,Cmcm,63,2,0.3333333333333333,True,6,Cmcm,63,2,0.3333333333333333,True,6,Cmcm,63,2,0.3333333333333333,True,6,Cmcm,63,2,0.3333333333333333,True
candidate_0383,screened,10,Cm,8,10,1.0,False,10,Cm,8,10,1.0,False,10,Cm,8,10,1.0,False,10,Cm,8,10,1.0,False
candidate_0388,priority,10,Pm,6,10,1.0,False,10,Pm,6,10,1.0,False,10,Pm,6,10,1.0,False,10,Pm,6,10,1.0,False
candidate_0393,control,15,P-3m1,164,5,0.3333333333333333,True,15,P-3m1,164,5,0.3333333333333333,True,15,P-3m1,164,5,0.3333333333333333,True,15,P-3m1,164,5,0.3333333333333333,True
candidate_0396,priority,6,P-62m,189,3,0.5,True,6,P-62m,189,3,0.5,True,6,P-62m,189,3,0.5,True,6,P-62m,189,3,0.5,True
candidate_0397,priority,16,C2/m,12,7,0.4375,True,16,C2/m,12,7,0.4375,True,16,Cmcm,63,5,0.3125,True,16,Cmcm,63,5,0.3125,True
candidate_0399,priority,6,P-62m,189,3,0.5,True,6,P-62m,189,3,0.5,True,6,P-62m,189,3,0.5,True,6,P-62m,189,3,0.5,True
candidate_0400,screened,18,Pm,6,18,1.0,False,18,Pm,6,18,1.0,False,18,P1,1,18,1.0,False,18,P1,1,18,1.0,False
candidate_0403,priority,16,P1,1,16,1.0,False,16,P1,1,16,1.0,False,16,Cm,8,12,0.75,False,16,Cm,8,12,0.75,False
candidate_0404,priority,12,Pmm2,25,12,1.0,False,12,Pmm2,25,12,1.0,False,12,Pmm2,25,12,1.0,False,12,Pmm2,25,12,1.0,False
candidate_0407,priority,12,P1,1,12,1.0,False,12,P1,1,12,1.0,False,12,Cm,8,12,1.0,False,12,Cm,8,12,1.0,False
candidate_0411,priority,12,Imm2,44,12,1.0,False,12,Imma,74,6,0.5,True,12,Imma,74,6,0.5,True,12,Imma,74,6,0.5,True
candidate_0412,priority,4,P-3m1,164,3,0.75,False,4,P-3m1,164,3,0.75,False,4,P-3m1,164,3,0.75,False,4,P-3m1,164,3,0.75,False
candidate_0413,priority,14,P-1,2,7,0.5,True,14,P-1,2,7,0.5,True,14,P-1,2,7,0.5,True,14,P-1,2,7,0.5,True
candidate_0414,priority,16,P1,1,16,1.0,False,16,P1,1,16,1.0,False,16,P1,1,16,1.0,False,16,P1,1,16,1.0,False
candidate_0416,priority,12,Pm,6,12,1.0,False,12,Pm,6,12,1.0,False,12,Pm,6,12,1.0,False,12,Pm,6,12,1.0,False
candidate_0433,screened,19,Pm,6,19,1.0,False,19,Pm,6,19,1.0,False,19,Pm,6,19,1.0,False,19,Pm,6,19,1.0,False
candidate_0435,screened,11,Cm,8,11,1.0,False,11,Cm,8,11,1.0,False,11,Cm,8,11,1.0,False,11,Cm,8,11,1.0,False
candidate_0440,control,12,P1,1,12,1.0,False,12,P1,1,12,1.0,False,12,Cc,9,6,0.5,True,12,Cc,9,6,0.5,True
candidate_0446,control,3,R-3m,166,2,0.6666666666666666,True,3,R-3m,166,2,0.6666666666666666,True,3,R-3m,166,2,0.6666666666666666,True,3,R-3m,166,2,0.6666666666666666,True
candidate_0451,screened,15,P1,1,15,1.0,False,15,P1,1,15,1.0,False,15,P1,1,15,1.0,False,15,P1,1,15,1.0,False
candidate_0460,control,11,P1,1,11,1.0,False,11,P1,1,11,1.0,False,11,P-1,2,6,0.5454545454545454,True,11,P-1,2,6,0.5454545454545454,True
candidate_0473,control,14,Cm,8,14,1.0,False,14,Cm,8,14,1.0,False,14,P1,1,14,1.0,False,14,P1,1,14,1.0,False
candidate_0477,priority,18,Pm,6,18,1.0,False,18,Pm,6,18,1.0,False,18,Pm,6,18,1.0,False,18,Pm,6,18,1.0,False
candidate_0479,control,16,P1,1,16,1.0,False,16,P1,1,16,1.0,False,16,Cm,8,12,0.75,False,16,Cm,8,12,0.75,False
candidate_0482,control,12,P1,1,12,1.0,False,12,P1,1,12,1.0,False,12,Pm,6,12,1.0,False,12,Pm,6,12,1.0,False
candidate_0484,screened,13,Cm,8,13,1.0,False,13,Cm,8,13,1.0,False,13,Imm2,44,13,1.0,False,13,Imm2,44,13,1.0,False
candidate_0486,screened,11,Imm2,44,11,1.0,False,11,Imm2,44,11,1.0,False,11,Imm2,44,11,1.0,False,11,Imm2,44,11,1.0,False
candidate_0489,priority,16,P1,1,16,1.0,False,16,P1,1,16,1.0,False,16,Pm,6,12,0.75,False,16,Pm,6,12,0.75,False
candidate_0492,priority,10,C2/m,12,4,0.4,True,10,C2/m,12,4,0.4,True,10,C2/m,12,4,0.4,True,10,C2/m,12,4,0.4,True
candidate_0493,priority,12,Imm2,44,12,1.0,False,12,Imm2,44,12,1.0,False,12,Imm2,44,12,1.0,False,12,Imm2,44,12,1.0,False
candidate_0494,control,16,Pm,6,16,1.0,False,16,Pm,6,16,1.0,False,16,Pm,6,16,1.0,False,16,Pm,6,16,1.0,False
candidate_0502,priority,12,P2_1/m,11,6,0.5,True,12,P2_1/m,11,6,0.5,True,12,P2_1/m,11,6,0.5,True,12,P2_1/m,11,6,0.5,True
candidate_0508,control,9,Immm,71,4,0.4444444444444444,True,9,Immm,71,4,0.4444444444444444,True,9,Immm,71,4,0.4444444444444444,True,9,Immm,71,4,0.4444444444444444,True
candidate_0515,screened,11,Imm2,44,11,1.0,False,11,Imm2,44,11,1.0,False,11,Imm2,44,11,1.0,False,11,Imm2,44,11,1.0,False
candidate_0516,screened,19,Pm,6,19,1.0,False,19,Pm,6,19,1.0,False,19,Pm,6,19,1.0,False,19,Pm,6,19,1.0,False
candidate_0517,control,4,I4/mmm,139,3,0.75,False,4,I4/mmm,139,3,0.75,False,4,I4/mmm,139,3,0.75,False,4,I4/mmm,139,3,0.75,False
candidate_0522,control,11,P1,1,11,1.0,False,11,P1,1,11,1.0,False,11,P1,1,11,1.0,False,11,P1,1,11,1.0,False
candidate_0523,control,10,P1,1,10,1.0,False,10,P1,1,10,1.0,False,10,P1,1,10,1.0,False,10,P1,1,10,1.0,False
candidate_0539,priority,16,Cm,8,12,0.75,False,16,Cm,8,12,0.75,False,16,Cm,8,12,0.75,False,16,Cm,8,12,0.75,False
candidate_0542,priority,16,P1,1,16,1.0,False,16,P1,1,16,1.0,False,16,Aem2,39,7,0.4375,True,16,Aem2,39,7,0.4375,True
candidate_0543,screened,10,Amm2,38,10,1.0,False,10,Amm2,38,10,1.0,False,10,Amm2,38,10,1.0,False,10,Amm2,38,10,1.0,False
candidate_0549,control,10,P4mm,99,10,1.0,False,10,P4mm,99,10,1.0,False,10,P4/mmm,123,6,0.6,True,10,P4/mmm,123,6,0.6,True
candidate_0550,screened,15,Pmm2,25,15,1.0,False,15,Pmm2,25,15,1.0,False,15,Pmm2,25,15,1.0,False,15,Pmm2,25,15,1.0,False
candidate_0554,screened,14,P1,1,14,1.0,False,14,P1,1,14,1.0,False,14,Cm,8,14,1.0,False,14,Cm,8,14,1.0,False
candidate_0560,priority,16,Cm,8,12,0.75,False,16,Cm,8,12,0.75,False,16,P-3m1,164,6,0.375,True,16,P-3m1,164,6,0.375,True
candidate_0563,priority,4,P-6m2,187,2,0.5,True,2,P-6m2,187,2,1.0,False,4,P-6m2,187,2,0.5,True,2,P-6m2,187,2,1.0,False
candidate_0565,priority,12,Cm,8,12,1.0,False,12,I4_1md,109,6,0.5,True,12,I4_1/amd,141,4,0.3333333333333333,True,12,I4_1/amd,141,4,0.3333333333333333,True
candidate_0568,priority,16,P-1,2,10,0.625,True,16,P-1,2,10,0.625,True,16,P-1,2,10,0.625,True,16,P-1,2,10,0.625,True
candidate_0574,priority,6,Cm,8,6,1.0,False,6,Cm,8,6,1.0,False,6,Cm,8,6,1.0,False,6,Cm,8,6,1.0,False
candidate_0583,priority,6,C2/m,12,3,0.5,True,6,C2/m,12,3,0.5,True,6,C2/m,12,3,0.5,True,6,C2/m,12,3,0.5,True
candidate_0591,priority,16,Amm2,38,9,0.5625,True,16,Amm2,38,9,0.5625,True,16,Amm2,38,9,0.5625,True,16,Amm2,38,9,0.5625,True
candidate_0594,screened,11,Cm,8,11,1.0,False,11,Cm,8,11,1.0,False,11,Imm2,44,11,1.0,False,11,Imm2,44,11,1.0,False
candidate_0595,screened,10,Cm,8,10,1.0,False,10,Cm,8,10,1.0,False,10,Cm,8,10,1.0,False,10,Cm,8,10,1.0,False
candidate_0603,priority,12,Imm2,44,12,1.0,False,12,Imm2,44,12,1.0,False,12,I-4m2,119,8,0.6666666666666666,True,12,I-4m2,119,8,0.6666666666666666,True
candidate_0619,control,18,P1,1,18,1.0,False,18,P1,1,18,1.0,False,18,P1,1,18,1.0,False,18,P1,1,18,1.0,False
candidate_0625,priority,6,Cm,8,6,1.0,False,6,Cm,8,6,1.0,False,6,Cm,8,6,1.0,False,6,Cm,8,6,1.0,False
candidate_0629,control,5,Cm,8,5,1.0,False,5,Cm,8,5,1.0,False,5,P-3m1,164,3,0.6,True,5,P-3m1,164,3,0.6,True
candidate_0631,control,4,Pmmn,59,2,0.5,True,4,Pmmn,59,2,0.5,True,4,Pmmn,59,2,0.5,True,4,Pmmn,59,2,0.5,True
candidate_0632,screened,10,Pm,6,10,1.0,False,10,Pm,6,10,1.0,False,10,Pmc2_1,26,5,0.5,True,10,P4/mbm,127,3,0.3,True
candidate_0633,priority,16,Cm,8,12,0.75,False,16,Cm,8,12,0.75,False,16,Amm2,38,9,0.5625,True,16,Amm2,38,9,0.5625,True
candidate_0635,control,6,Cm,8,6,1.0,False,6,Cm,8,6,1.0,False,6,Cm,8,6,1.0,False,6,Cm,8,6,1.0,False
candidate_0636,priority,16,Cm,8,12,0.75,False,16,Cm,8,12,0.75,False,16,P-6m2,187,6,0.375,True,16,P-6m2,187,6,0.375,True
candidate_0639,control,12,Imm2,44,12,1.0,False,12,Imm2,44,12,1.0,False,12,I4_1/amd,141,3,0.25,True,12,I4_1/amd,141,3,0.25,True
candidate_0641,priority,16,P2_1,4,8,0.5,True,16,Cmc2_1,36,6,0.375,True,16,Cmce,64,5,0.3125,True,16,Cmce,64,5,0.3125,True
candidate_0648,priority,16,Pm,6,12,0.75,False,16,Amm2,38,9,0.5625,True,16,P6_3/mmc,194,4,0.25,True,16,P6_3/mmc,194,4,0.25,True
candidate_0655,control,12,Pm,6,12,1.0,False,12,Pm,6,12,1.0,False,12,Pm,6,12,1.0,False,12,Pm,6,12,1.0,False
candidate_0656,control,3,Im-3m,229,1,0.3333333333333333,True,1,Im-3m,229,1,1.0,False,3,Im-3m,229,1,0.3333333333333333,True,1,Im-3m,229,1,1.0,False
candidate_0679,priority,10,Pm,6,10,1.0,False,10,Pm,6,10,1.0,False,10,Pm,6,10,1.0,False,10,Pm,6,10,1.0,False
candidate_0680,priority,12,Pm,6,12,1.0,False,12,Pm,6,12,1.0,False,12,P2_1/m,11,6,0.5,True,12,P2_1/m,11,6,0.5,True
candidate_0682,priority,16,P1,1,16,1.0,False,16,P1,1,16,1.0,False,16,P-6m2,187,6,0.375,True,16,P-6m2,187,6,0.375,True
candidate_0687,priority,16,P1,1,16,1.0,False,16,P1,1,16,1.0,False,16,Cm,8,12,0.75,False,16,Cm,8,12,0.75,False
candidate_0691,screened,7,P1,1,7,1.0,False,7,P1,1,7,1.0,False,7,Cm,8,7,1.0,False,7,Cm,8,7,1.0,False
candidate_0704,control,11,P-1,2,6,0.5454545454545454,True,11,P-1,2,6,0.5454545454545454,True,11,P-1,2,6,0.5454545454545454,True,11,P-1,2,6,0.5454545454545454,True
candidate_0706,screened,20,P1,1,20,1.0,False,20,P1,1,20,1.0,False,20,P1,1,20,1.0,False,20,P1,1,20,1.0,False
candidate_0709,screened,10,P1,1,10,1.0,False,10,P1,1,10,1.0,False,10,Cm,8,10,1.0,False,10,Cm,8,10,1.0,False
candidate_0713,priority,9,C2/m,12,5,0.5555555555555556,True,9,C2/m,12,5,0.5555555555555556,True,9,C2/m,12,5,0.5555555555555556,True,9,C2/m,12,5,0.5555555555555556,True
candidate_0714,priority,16,P1,1,16,1.0,False,16,P1,1,16,1.0,False,16,P1,1,16,1.0,False,16,P1,1,16,1.0,False
candidate_0715,screened,18,Pm,6,18,1.0,False,18,Pm,6,18,1.0,False,18,Pm,6,18,1.0,False,18,Pm,6,18,1.0,False
candidate_0716,control,7,P1,1,7,1.0,False,7,P1,1,7,1.0,False,7,Cm,8,6,0.8571428571428571,False,7,Cm,8,6,0.8571428571428571,False
